,contactID,actionID,emailID,timestamp,linkID
0,,,e_6deae,2012-01-08 00:00:00,
1,c_ab209,0.0,e_6deae,2012-01-08 00:00:00,
2,c_f5592,0.0,e_6deae,2012-01-08 00:00:00,
3,c_b377f,0.0,e_6deae,2012-01-08 00:00:00,
4,c_49997,0.0,e_6deae,2012-01-08 00:00:00,
5,c_1c35c,0.0,e_6deae,2012-01-08 00:00:00,
6,c_ad774,0.0,e_6deae,2012-01-08 00:00:00,
7,c_ab209,2.0,e_6deae,2012-01-08 00:02:00,v_e1a57
8,c_ab209,2.0,e_6deae,2012-01-08 00:05:00,v_1c498
9,c_ab209,2.0,e_6deae,2012-01-08 00:03:00,v_0a556
10,c_ab209,2.0,e_6deae,2012-01-08 00:02:00,v_1c498
11,c_ab209,2.0,e_6deae,2012-01-08 00:06:00,v_0a556
12,c_ab209,2.0,e_6deae,2012-01-08 00:03:00,v_1c498
13,c_ab209,2.0,e_6deae,2012-01-08 00:04:00,v_e1a57
14,c_ab209,2.0,e_6deae,2012-01-08 00:03:00,v_ffd66
15,c_ab209,2.0,e_6deae,2012-01-08 00:03:00,v_0a556
16,c_f5592,2.0,e_6deae,2012-01-08 00:04:00,v_ffd66
17,c_f5592,2.0,e_6deae,2012-01-08 00:03:00,v_0a556
18,c_f5592,2.0,e_6deae,2012-01-08 00:03:00,v_1c498
19,c_f5592,2.0,e_6deae,2012-01-08 00:05:00,v_1c498
20,c_f5592,2.0,e_6deae,2012-01-08 00:02:00,v_1c498
21,c_b377f,2.0,e_6deae,2012-01-08 00:01:00,v_e1a57
22,c_b377f,2.0,e_6deae,2012-01-08 00:04:00,v_ffd66
23,c_b377f,2.0,e_6deae,2012-01-08 00:03:00,v_0a556
24,c_b377f,2.0,e_6deae,2012-01-08 00:01:00,v_4afdf
25,c_b377f,2.0,e_6deae,2012-01-08 00:03:00,v_e1a57
26,c_49997,2.0,e_6deae,2012-01-08 00:05:00,v_4afdf
27,c_49997,2.0,e_6deae,2012-01-08 00:03:00,v_e1a57
28,c_49997,2.0,e_6deae,2012-01-08 00:00:00,v_0a556
29,c_49997,2.0,e_6deae,2012-01-08 00:03:00,v_1c498
30,c_49997,2.0,e_6deae,2012-01-08 00:04:00,v_ffd66
31,c_49997,2.0,e_6deae,2012-01-08 00:06:00,v_ffd66
32,c_49997,2.0,e_6deae,2012-01-08 00:04:00,v_1c498
33,c_49997,2.0,e_6deae,2012-01-08 00:03:00,v_4afdf
34,c_1c35c,2.0,e_6deae,2012-01-08 00:03:00,v_1c498
35,c_1c35c,2.0,e_6deae,2012-01-08 00:01:00,v_ffd66
36,c_1c35c,2.0,e_6deae,2012-01-08 00:01:00,v_4afdf
37,c_1c35c,2.0,e_6deae,2012-01-08 00:06:00,v_0a556
38,c_1c35c,2.0,e_6deae,2012-01-08 00:05:00,v_e1a57
39,c_1c35c,2.0,e_6deae,2012-01-08 00:01:00,v_e1a57
40,c_1c35c,2.0,e_6deae,2012-01-08 00:02:00,v_ffd66
41,c_ad774,2.0,e_6deae,2012-01-08 00:02:00,v_1c498
42,c_ad774,2.0,e_6deae,2012-01-08 00:08:00,v_0a556
43,c_ad774,2.0,e_6deae,2012-01-08 00:10:00,v_1c498
44,c_ad774,2.0,e_6deae,2012-01-08 00:03:00,v_4afdf
45,c_ad774,2.0,e_6deae,2012-01-08 00:03:00,v_1c498
46,c_ad774,2.0,e_6deae,2012-01-08 00:05:00,v_e1a57
47,c_ad774,2.0,e_6deae,2012-01-08 00:04:00,v_0a556
48,c_ad774,2.0,e_6deae,2012-01-08 00:01:00,v_e1a57
49,,,e_019ad,2012-01-15 00:00:00,
50,c_f2faa,0.0,e_019ad,2012-01-15 00:00:00,
